time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2015-08-27,225.09,235.93,220.29,231.65,NaN,NaN,NaN,NaN,220.29,235.93,220.29,235.93,NaN,NaN,NaN,40.57437286
2015-08-28,231.76,233.9,226.67,230.54,NaN,NaN,NaN,NaN,220.29,235.93,220.29,235.93,NaN,NaN,NaN,40.00266392
2015-08-29,230.41,232.75,225.04,229,NaN,NaN,NaN,NaN,220.29,235.93,220.29,235.93,NaN,NaN,NaN,39.1778682
2015-08-30,229.04,232.49,224.39,229.86,NaN,NaN,NaN,NaN,224.39,232.49,224.39,232.49,NaN,NaN,229.0306199,39.92282214
2015-08-31,230.25,231.67,226.17,227.96,NaN,NaN,NaN,NaN,226.17,231.67,226.17,231.67,NaN,NaN,229.2814959,38.79236557
2015-09-01,227.97,230.77,226,229.18,NaN,NaN,NaN,NaN,226,230.77,226,230.77,NaN,235.9173455,229.2041967,39.96782498
2015-09-02,228.95,229.96,226.5,227.28,NaN,NaN,NaN,NaN,226.5,229.96,226.5,229.96,NaN,235.2133023,229.0513574,38.72066184
2015-09-03,227.24,231.4,226.33,230.52,NaN,NaN,NaN,NaN,226.33,231.4,226.33,231.4,NaN,234.4235145,229.0250859,42.04192146
2015-09-04,230.72,237.22,229.23,235.6,NaN,NaN,NaN,NaN,226.33,231.4,226.33,231.4,245.218017,233.6755752,228.8970687,46.90125185
2015-09-05,235.39,244.2,235.02,240.28,NaN,NaN,NaN,NaN,226.33,231.4,226.33,231.4,244.0693234,233.0811283,228.763655,50.97892233
2015-09-06,240.28,242.91,238.44,240.19,NaN,NaN,NaN,NaN,238.44,242.91,238.44,242.91,242.9020677,232.4941123,228.783924,50.89797367
2015-09-07,240.07,246.24,239.98,244.21,NaN,NaN,NaN,NaN,239.98,246.24,239.98,246.24,241.789601,231.9610982,229.6721392,54.38231354
2015-09-08,244.04,244.22,237.01,238.35,NaN,NaN,NaN,NaN,237.01,244.22,237.01,244.22,240.7996317,231.574086,231.6597114,48.93144867
2015-09-09,238.35,241.65,234.78,238.66,NaN,NaN,NaN,NaN,234.78,241.65,234.78,241.65,239.84466,231.7804502,233.4627691,49.22140805
2015-09-10,238.57,240.94,237.5,240,NaN,NaN,NaN,NaN,237.5,240.94,237.5,240.94,238.9512246,232.7591439,235.3922153,50.52897023
2015-09-11,239.92,240,233.02,234.79,NaN,NaN,NaN,NaN,237.5,240.94,237.5,240.94,238.1753612,233.7486259,236.4367722,45.61117373
2015-09-12,234.79,236.09,228,229.66,NaN,NaN,NaN,NaN,237.5,240.94,237.5,240.94,237.7945642,234.9187977,236.7924178,41.34429747
2015-09-13,229.66,232.92,223.99,229.71,NaN,NaN,NaN,NaN,223.99,232.92,223.99,232.92,237.9342131,235.630823,237.2779342,41.40183618
2015-09-14,229.84,231.21,226.5,230.03,NaN,NaN,NaN,NaN,226.5,231.21,226.5,231.21,238.1450429,235.9538451,237.1243474,41.79536102
2015-09-15,229.99,230.5,223,228.34,NaN,NaN,NaN,NaN,223,230.5,223,230.5,238.5269626,236.3621145,236.1084779,40.25770715
2015-09-16,228.34,235,227,232.17,NaN,NaN,NaN,NaN,227,235,227,235,238.6875809,236.3806002,234.5777823,45.17998793
2015-09-17,232.2,234.4,230.83,233.12,NaN,NaN,NaN,NaN,230.83,234.4,230.83,234.4,238.6512285,235.8386501,233.4332259,46.36052208
2015-09-18,233.24,233.76,229.89,230,NaN,NaN,NaN,NaN,230.83,234.4,230.83,234.4,238.6949802,234.9156939,232.0965807,43.07938346
2015-09-19,230,231.7,229,230.16,NaN,NaN,NaN,NaN,230.83,234.4,230.83,234.4,238.5269048,234.1581071,231.8772645,43.30099978
2015-09-20,230.1,230.15,225,226.15,NaN,NaN,NaN,NaN,225,230.15,225,230.15,238.0282967,233.2320937,232.0248116,39.18340689
2015-09-21,226.15,231.96,223.12,230.42,NaN,NaN,NaN,NaN,223.12,231.96,223.12,231.96,237.2918893,232.953082,231.9848493,45.16319519
2015-09-22,230.08,231.5,228,229.42,NaN,NaN,NaN,NaN,228,231.5,228,231.5,236.6428978,232.9108218,231.6578794,44.07032941
2015-09-23,229.42,235.52,228.89,233.86,NaN,NaN,NaN,NaN,228.89,235.52,228.89,235.52,235.8819057,232.7750941,230.8413036,49.87052904
2015-09-24,233.88,237.25,232.56,235.22,NaN,NaN,NaN,NaN,232.56,237.25,232.56,237.25,235.5063745,232.4719573,230.1810428,51.52868769
2015-09-25,235.14,235.67,233,233.81,NaN,NaN,NaN,NaN,232.56,237.25,232.56,237.25,235.283961,231.8598376,230.0948343,49.69343094
2015-09-26,233.81,234.61,231.16,232.41,NaN,NaN,NaN,NaN,232.56,237.25,232.56,237.25,235.0178871,231.3198579,230.5168674,47.8703419
2015-09-27,232.4,239.68,231.69,239.14,NaN,NaN,NaN,NaN,231.69,239.68,231.69,239.68,234.6588189,231.1236257,231.3944939,56.190779
2015-09-28,239.14,240.56,235.09,236.94,NaN,NaN,NaN,NaN,235.09,240.56,235.09,240.56,234.1139097,231.2587975,231.9825952,53.20142837
2015-09-29,236.78,238.27,234.67,236.2,NaN,NaN,NaN,NaN,234.67,238.27,234.67,238.27,233.6082244,231.7145728,232.1630761,52.19556469
2015-09-30,235.87,239.44,235.01,237.15,NaN,NaN,NaN,NaN,235.01,239.44,235.01,239.44,233.3114379,232.0421262,232.8674609,53.41330397
