time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2016-05-22,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,13.61,13.91,13.61,13.91,NaN,NaN,NaN,NaN
2016-05-23,13.68,13.74,12,12.77,NaN,NaN,NaN,NaN,12,13.74,12,13.74,NaN,NaN,NaN,NaN
2016-05-24,13,13.18,11.93,12.61,NaN,NaN,NaN,NaN,11.93,13.18,11.93,13.18,NaN,NaN,NaN,NaN
2016-05-25,12.61,12.95,12.15,12.47,NaN,NaN,NaN,NaN,12.15,12.95,12.15,12.95,NaN,NaN,NaN,NaN
2016-05-26,12.47,12.47,10.25,10.98,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-27,11.3,12.44,10.7,12.02,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-28,12.02,12.49,11.7,12.34,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-29,12.35,12.88,12,12.88,NaN,NaN,NaN,NaN,12,12.88,12,12.88,NaN,NaN,12.619,NaN
2016-05-30,12.84,14.24,12.37,14.16,NaN,NaN,NaN,NaN,12.37,14.24,12.37,14.24,NaN,NaN,12.4092,NaN
2016-05-31,14.15,14.45,13.5,13.93,NaN,NaN,NaN,NaN,13.5,14.45,13.5,14.45,NaN,NaN,12.34636,NaN
2016-06-01,13.93,14.18,13.76,14.03,NaN,NaN,NaN,NaN,13.76,14.18,13.76,14.18,NaN,NaN,12.365088,NaN
2016-06-02,14.03,14.12,13.49,13.98,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,NaN,12.5530704,NaN
2016-06-03,13.98,14.03,13.56,13.95,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,12.4,12.83745632,NaN
2016-06-04,13.97,14.06,13.8,14.04,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,12.513125,13.06396506,NaN
2016-06-05,14.02,14.3,13.83,14.22,NaN,NaN,NaN,NaN,13.83,14.3,13.83,14.3,NaN,12.69585937,13.21217204,54.69953775
2016-06-06,14.21,14.69,13.97,14.52,NaN,NaN,NaN,NaN,13.97,14.69,13.97,14.69,NaN,12.85512695,13.32873764,56.84769109
2016-06-07,14.53,14.87,14.4,14.64,NaN,NaN,NaN,NaN,14.4,14.87,14.4,14.87,NaN,12.97386108,13.44899011,57.71152324
2016-06-08,14.64,14.85,14.55,14.71,NaN,NaN,NaN,NaN,14.55,14.85,14.55,14.85,NaN,13.07650345,13.57219209,58.23671924
2016-06-09,14.61,14.74,13.76,13.91,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,NaN,13.18319052,13.72375367,50.51527222
2016-06-10,13.93,14.29,13.86,14.1,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,NaN,13.2934167,13.90600294,52.13834432
2016-06-11,14.14,15.91,13.92,15.58,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,12.92692308,13.42298961,14.06480235,62.46567405
2016-06-12,15.91,17.93,15.49,17.89,NaN,NaN,NaN,NaN,15.49,17.93,15.49,17.93,13.00408284,13.57449091,14.10184188,72.4557067
2016-06-13,17.86,19.08,16.96,18.79,NaN,NaN,NaN,NaN,16.96,19.08,16.96,19.08,13.08569185,13.71517955,14.0964735,75.22269639
2016-06-14,18.79,18.81,17.89,18.42,NaN,NaN,NaN,NaN,17.89,18.81,17.89,18.81,13.18140786,13.78203211,14.2601788,72.01959645
2016-06-15,18.51,21.35,18.5,20.99,NaN,NaN,NaN,NaN,18.5,21.35,18.5,21.35,13.29322264,13.81865309,14.75014304,78.77894269
2016-06-16,20.99,22,13.75,15.65,NaN,NaN,NaN,NaN,13.75,22,13.75,22,13.40143629,13.95569646,15.40411443,51.13657775
2016-06-17,15.64,15.74,10,11.64,NaN,NaN,NaN,NaN,13.75,22,13.75,22,13.46671042,14.2999844,15.99329155,39.83340673
2016-06-18,11.55,13.4,10.72,12.35,NaN,NaN,NaN,NaN,13.75,22,13.75,22,13.51350192,14.76498635,16.77963324,42.26669584
2016-06-19,12.35,12.74,10.8,11.81,NaN,NaN,NaN,NaN,10.8,12.74,10.8,12.74,13.62130947,15.21311306,16.99870659,40.91149478
2016-06-20,11.44,13.89,11.2,13.89,NaN,NaN,NaN,NaN,11.2,13.89,11.2,13.89,13.85890105,15.80209892,16.17296527,47.84785822
2016-06-21,13.3,15.89,13.07,13.18,NaN,NaN,NaN,NaN,13.07,15.89,13.07,15.89,14.17898558,16.06121156,15.35037222,45.8685058
2016-06-22,13.18,14.5,12.68,13.81,NaN,NaN,NaN,NaN,12.68,14.5,12.68,14.5,14.49983285,15.66231011,14.63429777,47.9269565
2016-06-23,13.98,14.8,13.25,14.55,NaN,NaN,NaN,NaN,13.25,14.8,13.25,14.8,14.9171534,15.21202135,14.21643822,50.31683363
2016-06-24,14.55,14.74,14,14.37,NaN,NaN,NaN,NaN,13.25,14.8,13.25,14.8,15.14468006,14.78176868,14.26915058,49.71909504
2016-06-25,14.39,14.49,13.6,14.02,NaN,NaN,NaN,NaN,13.25,14.8,13.25,14.8,14.96970467,14.5021726,14.13332046,48.51230931
2016-06-26,14,14.59,13.85,14.1,NaN,NaN,NaN,NaN,13.85,14.59,13.85,14.59,14.74588123,14.49940102,14.11165637,48.81810401
2016-06-27,14.06,14.25,11.52,12.23,NaN,NaN,NaN,NaN,11.52,14.25,11.52,14.25,14.51696729,14.38572589,14.16332509,42.46871475
2016-06-28,12.16,13.13,11.62,12.74,NaN,NaN,NaN,NaN,11.62,13.13,11.62,13.13,14.3652775,14.34063516,14.13966008,44.58555125
2016-06-29,12.7,13.06,12.19,12.49,NaN,NaN,NaN,NaN,12.19,13.06,12.19,13.06,14.37410231,14.34430576,14.15572806,43.7360245
2016-06-30,12.48,12.54,11.8,12.34,NaN,NaN,NaN,NaN,11.8,12.54,11.8,12.54,14.31378675,14.30689254,13.90158245,43.20410748
2016-07-01,12.28,12.45,12,12.09,NaN,NaN,NaN,NaN,11.8,12.54,11.8,12.54,14.29157238,14.29603097,13.59626596,42.28114352
2016-07-02,12.16,12.16,11.65,12.02,NaN,NaN,NaN,NaN,11.8,12.54,11.8,12.54,14.29760527,14.1196521,13.40201277,42.01052313
2016-07-03,11.94,11.99,11.41,11.48,NaN,NaN,NaN,NaN,11.41,11.99,11.41,11.99,14.2781741,13.90157059,13.15561021,39.8894658
2016-07-04,11.45,11.48,9.31,10.6,NaN,NaN,NaN,NaN,9.31,11.48,9.31,11.48,14.27369917,13.74199927,12.96948817,36.64266965
2016-07-05,10.6,11,10.24,10.61,NaN,NaN,NaN,NaN,10.24,11,10.24,11,14.16687616,13.54549936,12.75659054,36.70571649
