time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2016-08-16,3.7,3.7,3.62,3.62,NaN,NaN,NaN,NaN,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN
2016-08-17,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN
2016-08-18,3.7,4,3.7,4,NaN,NaN,NaN,NaN,3.7,4,3.7,4,NaN,NaN,NaN,NaN
2016-08-20,4,4,4,4,NaN,NaN,NaN,NaN,3.7,4,3.7,4,NaN,NaN,NaN,NaN
2016-08-21,3.99,3.99,3.99,3.99,NaN,NaN,NaN,NaN,3.99,3.99,3.99,3.99,NaN,NaN,NaN,NaN
2016-08-22,3.99,5.49,3.61,3.95,NaN,NaN,NaN,NaN,3.61,5.49,3.61,5.49,NaN,NaN,NaN,NaN
2016-08-23,3.95,3.96,3.61,3.79,NaN,NaN,NaN,NaN,3.61,3.96,3.61,3.96,NaN,NaN,NaN,NaN
2016-08-24,3.82,3.88,3.75,3.81,NaN,NaN,NaN,NaN,3.75,3.88,3.75,3.88,NaN,NaN,3.832,NaN
2016-08-25,3.81,3.9,3.77,3.84,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.9756,NaN
2016-08-26,3.85,3.85,3.62,3.78,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.93748,NaN
2016-08-27,3.78,3.78,3.62,3.78,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.912984,NaN
2016-08-28,3.7,3.84,3.7,3.74,NaN,NaN,NaN,NaN,3.7,3.84,3.7,3.84,NaN,NaN,3.8973872,NaN
2016-08-29,3.74,3.85,3.74,3.81,NaN,NaN,NaN,NaN,3.74,3.85,3.74,3.85,NaN,3.91375,3.86490976,NaN
2016-08-30,3.81,3.85,3.74,3.74,NaN,NaN,NaN,NaN,3.74,3.85,3.74,3.85,NaN,3.90390625,3.831927808,NaN
2016-08-31,3.74,3.9,3.26,3.66,NaN,NaN,NaN,NaN,3.26,3.9,3.26,3.9,NaN,3.882792969,3.819542246,52.08333333
2016-09-01,3.67,4.35,3.67,3.84,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.859943848,3.814633797,60.13333333
2016-09-02,3.84,3.99,3.8,3.88,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.848700867,3.810707038,61.67422599
2016-09-03,3.99,4.08,3.85,4.02,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.841988258,3.76456563,66.54772465
2016-09-04,4.01,4.07,3.94,3.96,NaN,NaN,NaN,NaN,3.94,4.07,3.94,4.07,NaN,3.836114726,3.813652504,62.85860651
2016-09-05,3.96,3.98,3.91,3.95,NaN,NaN,NaN,NaN,3.91,3.98,3.91,3.98,NaN,3.804100385,3.829922003,62.23932564
2016-09-06,3.95,4.03,3.91,3.97,NaN,NaN,NaN,NaN,3.91,4.03,3.91,4.03,3.857307692,3.829837837,3.856937603,63.02394349
2016-09-07,3.97,4.03,3.95,4.01,NaN,NaN,NaN,NaN,3.95,4.03,3.95,4.03,3.852514793,3.837983108,3.886550082,64.60788675
2016-09-08,3.97,4.02,3.94,3.96,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.831552117,3.853860219,3.898240066,61.08538637
2016-09-09,3.96,4,3.95,3.97,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.845278877,3.872752692,3.912592053,61.53705787
2016-09-10,4,4.04,3.86,3.93,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.849103579,3.881783605,3.928073642,58.60682049
