time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2016-05-22T17:00:00-07:00,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,13.61,13.91,13.61,13.91,NaN,NaN,NaN,NaN
2016-05-23T17:00:00-07:00,13.68,13.74,12,12.77,NaN,NaN,NaN,NaN,12,13.74,12,13.74,NaN,NaN,NaN,NaN
2016-05-24T17:00:00-07:00,13,13.18,11.93,12.61,NaN,NaN,NaN,NaN,11.93,13.18,11.93,13.18,NaN,NaN,NaN,NaN
2016-05-25T17:00:00-07:00,12.61,12.95,12.15,12.47,NaN,NaN,NaN,NaN,12.15,12.95,12.15,12.95,NaN,NaN,NaN,NaN
2016-05-26T17:00:00-07:00,12.47,12.47,10.25,10.98,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-27T17:00:00-07:00,11.3,12.44,10.7,12.02,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-28T17:00:00-07:00,12.02,12.49,11.7,12.34,NaN,NaN,NaN,NaN,10.25,12.47,10.25,12.47,NaN,NaN,NaN,NaN
2016-05-29T17:00:00-07:00,12.35,12.88,12,12.88,NaN,NaN,NaN,NaN,12,12.88,12,12.88,NaN,NaN,12.619,NaN
2016-05-30T17:00:00-07:00,12.84,14.24,12.37,14.16,NaN,NaN,NaN,NaN,12.37,14.24,12.37,14.24,NaN,NaN,12.4092,NaN
2016-05-31T17:00:00-07:00,14.15,14.45,13.5,13.93,NaN,NaN,NaN,NaN,13.5,14.45,13.5,14.45,NaN,NaN,12.34636,NaN
2016-06-01T17:00:00-07:00,13.93,14.18,13.76,14.03,NaN,NaN,NaN,NaN,13.76,14.18,13.76,14.18,NaN,NaN,12.365088,NaN
2016-06-02T17:00:00-07:00,14.03,14.12,13.49,13.98,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,NaN,12.5530704,NaN
2016-06-03T17:00:00-07:00,13.98,14.03,13.56,13.95,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,12.4,12.837456319999998,NaN
2016-06-04T17:00:00-07:00,13.97,14.06,13.8,14.04,NaN,NaN,NaN,NaN,13.49,14.12,13.49,14.12,NaN,12.513124999999999,13.063965055999997,NaN
2016-06-05T17:00:00-07:00,14.02,14.3,13.83,14.22,NaN,NaN,NaN,NaN,13.83,14.3,13.83,14.3,NaN,12.695859374999998,13.212172044799996,54.69953775038522
2016-06-06T17:00:00-07:00,14.21,14.69,13.97,14.52,NaN,NaN,NaN,NaN,13.97,14.69,13.97,14.69,NaN,12.855126953124998,13.328737635839996,56.84769109179181
2016-06-07T17:00:00-07:00,14.53,14.87,14.4,14.64,NaN,NaN,NaN,NaN,14.4,14.87,14.4,14.87,NaN,12.973861083984374,13.448990108671996,57.71152323968238
2016-06-08T17:00:00-07:00,14.64,14.85,14.55,14.71,NaN,NaN,NaN,NaN,14.55,14.85,14.55,14.85,NaN,13.076503448486328,13.572192086937596,58.23671923947559
2016-06-09T17:00:00-07:00,14.61,14.74,13.76,13.91,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,NaN,13.183190517425537,13.723753669550078,50.515272224990746
2016-06-10T17:00:00-07:00,13.93,14.29,13.86,14.1,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,NaN,13.293416702747344,13.906002935640064,52.13834431592489
2016-06-11T17:00:00-07:00,14.14,15.91,13.92,15.58,NaN,NaN,NaN,NaN,13.76,14.74,13.76,14.74,12.926923076923078,13.422989614903925,14.064802348512051,62.465674049235275
2016-06-12T17:00:00-07:00,15.91,17.93,15.49,17.89,NaN,NaN,NaN,NaN,15.49,17.93,15.49,17.93,13.00408284023669,13.574490913040934,14.101841878809642,72.45570669657022
2016-06-13T17:00:00-07:00,17.86,19.08,16.96,18.79,NaN,NaN,NaN,NaN,16.96,19.08,16.96,19.08,13.085691852526175,13.715179548910818,14.096473503047713,75.22269639195396
2016-06-14T17:00:00-07:00,18.79,18.81,17.89,18.42,NaN,NaN,NaN,NaN,17.89,18.81,17.89,18.81,13.181407863870316,13.782032105296967,14.26017880243817,72.01959645372605
2016-06-15T17:00:00-07:00,18.51,21.35,18.5,20.99,NaN,NaN,NaN,NaN,18.5,21.35,18.5,21.35,13.293222643572598,13.818653092134847,14.750143041950537,78.77894269067738
