time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2016-08-16T17:00:00-07:00,3.7,3.7,3.62,3.62,NaN,NaN,NaN,NaN,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN
2016-08-17T17:00:00-07:00,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN,3.62,3.7,3.62,3.7,NaN,NaN,NaN,NaN
2016-08-18T17:00:00-07:00,3.7,4,3.7,4,NaN,NaN,NaN,NaN,3.7,4,3.7,4,NaN,NaN,NaN,NaN
2016-08-20T17:00:00-07:00,4,4,4,4,NaN,NaN,NaN,NaN,3.7,4,3.7,4,NaN,NaN,NaN,NaN
2016-08-21T17:00:00-07:00,3.99,3.99,3.99,3.99,NaN,NaN,NaN,NaN,3.99,3.99,3.99,3.99,NaN,NaN,NaN,NaN
2016-08-22T17:00:00-07:00,3.99,5.49,3.61,3.95,NaN,NaN,NaN,NaN,3.61,5.49,3.61,5.49,NaN,NaN,NaN,NaN
2016-08-23T17:00:00-07:00,3.95,3.96,3.61,3.79,NaN,NaN,NaN,NaN,3.61,3.96,3.61,3.96,NaN,NaN,NaN,NaN
2016-08-24T17:00:00-07:00,3.82,3.88,3.75,3.81,NaN,NaN,NaN,NaN,3.75,3.88,3.75,3.88,NaN,NaN,3.832,NaN
2016-08-25T17:00:00-07:00,3.81,3.9,3.77,3.84,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.9756,NaN
2016-08-26T17:00:00-07:00,3.85,3.85,3.62,3.78,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.93748,NaN
2016-08-27T17:00:00-07:00,3.78,3.78,3.62,3.78,NaN,NaN,NaN,NaN,3.77,3.9,3.77,3.9,NaN,NaN,3.9129840000000002,NaN
2016-08-28T17:00:00-07:00,3.7,3.84,3.7,3.74,NaN,NaN,NaN,NaN,3.7,3.84,3.7,3.84,NaN,NaN,3.8973872,NaN
2016-08-29T17:00:00-07:00,3.74,3.85,3.74,3.81,NaN,NaN,NaN,NaN,3.74,3.85,3.74,3.85,NaN,3.91375,3.8649097599999997,NaN
2016-08-30T17:00:00-07:00,3.81,3.85,3.74,3.74,NaN,NaN,NaN,NaN,3.74,3.85,3.74,3.85,NaN,3.90390625,3.8319278079999997,NaN
2016-08-31T17:00:00-07:00,3.74,3.9,3.26,3.66,NaN,NaN,NaN,NaN,3.26,3.9,3.26,3.9,NaN,3.88279296875,3.8195422463999997,52.08333333333334
2016-09-01T17:00:00-07:00,3.67,4.35,3.67,3.84,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.85994384765625,3.81463379712,60.13333333333333
2016-09-02T17:00:00-07:00,3.84,3.99,3.8,3.88,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.8487008666992186,3.8107070376959995,61.67422599092882
2016-09-03T17:00:00-07:00,3.99,4.08,3.85,4.02,NaN,NaN,NaN,NaN,3.67,4.35,3.67,4.35,NaN,3.841988258361816,3.7645656301568,66.54772465475922
2016-09-04T17:00:00-07:00,4.01,4.07,3.94,3.96,NaN,NaN,NaN,NaN,3.94,4.07,3.94,4.07,NaN,3.8361147260665893,3.8136525041254403,62.85860650809305
2016-09-05T17:00:00-07:00,3.96,3.98,3.91,3.95,NaN,NaN,NaN,NaN,3.91,3.98,3.91,3.98,NaN,3.8041003853082653,3.8299220033003523,62.23932563827381
2016-09-06T17:00:00-07:00,3.95,4.03,3.91,3.97,NaN,NaN,NaN,NaN,3.91,4.03,3.91,4.03,3.8573076923076925,3.8298378371447317,3.856937602640282,63.02394349221988
2016-09-07T17:00:00-07:00,3.97,4.03,3.95,4.01,NaN,NaN,NaN,NaN,3.95,4.03,3.95,4.03,3.8525147928994086,3.8379831075016404,3.886550082112225,64.6078867463283
2016-09-08T17:00:00-07:00,3.97,4.02,3.94,3.96,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.8315521165225306,3.8538602190639355,3.89824006568978,61.08538636879101
2016-09-09T17:00:00-07:00,3.96,4,3.95,3.97,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.845278876790028,3.8727526916809434,3.912592052551824,61.537057873919956
2016-09-10T17:00:00-07:00,4,4.04,3.86,3.93,NaN,NaN,NaN,NaN,3.94,4.02,3.94,4.02,3.849103578575411,3.8817836052208254,3.928073642041459,58.60682048501568
2016-09-11T17:00:00-07:00,3.93,3.96,3.77,3.88,NaN,NaN,NaN,NaN,3.77,3.96,3.77,3.96,3.858018687915764,3.892810654568222,3.938458913633167,55.07640088335376
2016-09-12T17:00:00-07:00,3.88,3.88,3.8,3.81,NaN,NaN,NaN,NaN,3.8,3.88,3.8,3.88,3.869324942691475,3.904959322747194,3.945767130906534,50.49073336994014
2016-09-13T17:00:00-07:00,3.85,3.85,3.8,3.83,NaN,NaN,NaN,NaN,3.8,3.85,3.8,3.85,3.875146100945977,3.9143394074037947,3.9466137047252277,51.727404715064274
2016-09-14T17:00:00-07:00,3.83,3.95,3.81,3.85,NaN,NaN,NaN,NaN,3.81,3.95,3.81,3.95,3.8824425547193635,3.9219219814783206,3.9302909637801817,52.99192260261827
2016-09-15T17:00:00-07:00,3.83,3.89,3.8,3.81,NaN,NaN,NaN,NaN,3.8,3.89,3.8,3.89,3.8907162043563357,3.9254317337935305,3.912232771024145,50.16175762068787
