time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Jaw,Teeth,Lips,RSI
2014-02-13,0.213899,0.37638,0.213899,0.37638,NaN,NaN,NaN,NaN,0.213899,0.37638,0.213899,0.37638,NaN,NaN,NaN,NaN
2014-02-14,0.37638,0.37638,0.221422,0.317603,NaN,NaN,NaN,NaN,0.213899,0.37638,0.213899,0.37638,NaN,NaN,NaN,NaN
2014-02-15,0.317603,0.456041,0.31124,0.45005,NaN,NaN,NaN,NaN,0.213899,0.37638,0.213899,0.37638,NaN,NaN,NaN,NaN
2014-02-16,0.45005,1.4946,0.406111,1.4946,NaN,NaN,NaN,NaN,0.406111,1.4946,0.406111,1.4946,NaN,NaN,NaN,NaN
2014-02-17,1.4946,1.4946,0.913297,0.922929,NaN,NaN,NaN,NaN,0.913297,1.4946,0.913297,1.4946,NaN,NaN,NaN,NaN
2014-02-18,0.922929,1.20776,0.8746,1.02226,NaN,NaN,NaN,NaN,0.8746,1.20776,0.8746,1.20776,NaN,NaN,NaN,NaN
2014-02-19,1.02226,1.23243,0.931691,1.10244,NaN,NaN,NaN,NaN,0.931691,1.23243,0.931691,1.23243,NaN,NaN,NaN,NaN
2014-02-20,1.10244,1.32097,1.03691,1.11878,NaN,NaN,NaN,NaN,1.03691,1.32097,1.03691,1.32097,NaN,NaN,0.626397,NaN
2014-02-21,1.11878,1.24774,0.991019,1.16962,NaN,NaN,NaN,NaN,1.03691,1.32097,1.03691,1.32097,NaN,NaN,0.7093536,NaN
2014-02-22,1.16962,3.36433,0.885977,1.10902,NaN,NaN,NaN,NaN,1.03691,1.32097,1.03691,1.32097,NaN,NaN,0.78389498,NaN
2014-02-23,1.10902,1.18782,0.506865,0.846068,NaN,NaN,NaN,NaN,0.506865,1.18782,0.506865,1.18782,NaN,NaN,0.862903984,NaN
2014-02-24,0.846068,0.846068,0.578474,0.635261,NaN,NaN,NaN,NaN,0.578474,0.846068,0.578474,0.846068,NaN,NaN,0.914199087,NaN
2014-02-25,0.635261,0.737365,0.505173,0.634943,NaN,NaN,NaN,NaN,0.505173,0.737365,0.505173,0.737365,NaN,0.804270688,1.15638997,NaN
2014-02-26,0.634943,0.675378,0.551065,0.622299,NaN,NaN,NaN,NaN,0.551065,0.675378,0.551065,0.675378,NaN,0.843659289,1.094580476,NaN
2014-02-27,0.622299,0.623234,0.472623,0.546611,NaN,NaN,NaN,NaN,0.472623,0.623234,0.472623,0.623234,NaN,1.003846065,1.018118581,53.17933844
2014-02-28,0.546611,1.07489,0.535649,0.961441,NaN,NaN,NaN,NaN,0.472623,0.623234,0.472623,0.623234,NaN,0.98428312,0.938748665,59.87505942
2014-03-01,0.961441,1.0761,0.851467,1.04312,NaN,NaN,NaN,NaN,0.472623,0.623234,0.472623,0.623234,NaN,0.950281605,0.873643232,61.05599275
2014-03-02,1.04312,1.15278,0.945578,1.14239,NaN,NaN,NaN,NaN,0.945578,1.15278,0.945578,1.15278,NaN,0.909155029,0.808500285,62.50052889
2014-03-03,1.14239,1.20372,0.973508,0.998479,NaN,NaN,NaN,NaN,0.973508,1.20372,0.973508,1.20372,NaN,0.872163338,0.807854128,59.07928781
2014-03-04,0.998479,1.0702,0.949873,1.04268,NaN,NaN,NaN,NaN,0.949873,1.0702,0.949873,1.0702,NaN,0.831633983,0.839040003,59.80702229
2014-03-05,1.04268,1.05296,0.95771,1.0419,NaN,NaN,NaN,NaN,0.95771,1.05296,0.95771,1.05296,0.912275462,0.828338423,0.881067802,59.7868162
2014-03-06,1.0419,1.10134,0.884705,0.886123,NaN,NaN,NaN,NaN,0.884705,1.10134,0.884705,1.10134,0.889271311,0.845269058,0.922577042,55.73672265
2014-03-07,0.886123,0.953494,0.86083,0.923403,NaN,NaN,NaN,NaN,0.884705,1.10134,0.884705,1.10134,0.863014171,0.8707578,0.940068933,56.49625027
2014-03-08,0.923403,0.95736,0.810382,0.87206,NaN,NaN,NaN,NaN,0.884705,1.10134,0.884705,1.10134,0.858572274,0.897989825,0.953122147,55.09409824
2014-03-09,0.87206,0.911204,0.753528,0.795157,NaN,NaN,NaN,NaN,0.753528,0.911204,0.753528,0.911204,0.866665445,0.91199566,0.961102217,52.97339448
2014-03-10,0.795157,0.922435,0.767424,0.88767,NaN,NaN,NaN,NaN,0.767424,0.922435,0.767424,0.922435,0.880704949,0.923663077,0.950314174,55.20711155
2014-03-11,0.88767,0.953405,0.860298,0.860298,NaN,NaN,NaN,NaN,0.860298,0.953405,0.860298,0.953405,0.896697953,0.932333005,0.937025539,54.38402719
2014-03-12,0.860298,0.885283,0.828219,0.833116,NaN,NaN,NaN,NaN,0.828219,0.885283,0.828219,0.885283,0.905416303,0.929186629,0.916093631,53.53051389
2014-03-13,0.833116,0.845822,0.802109,0.815183,NaN,NaN,NaN,NaN,0.802109,0.845822,0.802109,0.845822,0.913102356,0.923522176,0.901860805,52.94020306
2014-03-14,0.815183,0.815183,0.742959,0.79172,NaN,NaN,NaN,NaN,0.802109,0.845822,0.802109,0.845822,0.91925006,0.912127654,0.902858944,52.13020487
2014-03-15,0.79172,0.800454,0.758414,0.777412,NaN,NaN,NaN,NaN,0.802109,0.845822,0.802109,0.845822,0.918320209,0.903727885,0.893637355,51.6116127
2014-03-16,0.777412,0.821393,0.751952,0.777384,NaN,NaN,NaN,NaN,0.751952,0.821393,0.751952,0.821393,0.91567027,0.904118336,0.879702984,51.61053067
2014-03-17,0.777384,0.779729,0.732481,0.752037,NaN,NaN,NaN,NaN,0.732481,0.779729,0.732481,0.779729,0.909262249,0.898197419,0.859576587,50.57682715
2014-03-18,0.752037,0.7681,0.729303,0.749153,NaN,NaN,NaN,NaN,0.729303,0.7681,0.729303,0.7681,0.904313576,0.888918429,0.84354807,50.45300508
2014-03-19,0.749153,0.755714,0.703593,0.719187,NaN,NaN,NaN,NaN,0.703593,0.755714,0.703593,0.755714,0.904508801,0.875187501,0.832172956,49.10771954
2014-03-20,0.719187,0.750773,0.695235,0.704965,NaN,NaN,NaN,NaN,0.695235,0.750773,0.695235,0.750773,0.900835124,0.863218313,0.816959365,48.44745949
2014-03-21,0.704965,0.718774,0.683333,0.718774,NaN,NaN,NaN,NaN,0.695235,0.750773,0.695235,0.750773,0.894922076,0.853650087,0.803307792,49.16218352
2014-03-22,0.718774,0.724273,0.702835,0.723664,NaN,NaN,NaN,NaN,0.695235,0.750773,0.695235,0.750773,0.886010455,0.841456951,0.788576933,49.42955581
2014-03-23,0.723664,0.890236,0.704338,0.870367,NaN,NaN,NaN,NaN,0.704338,0.890236,0.704338,0.890236,0.877812266,0.829862519,0.775462347,56.77444
2014-03-24,0.870367,0.900979,0.800879,0.832235,NaN,NaN,NaN,NaN,0.800879,0.900979,0.800879,0.900979,0.870801515,0.817336392,0.760580577,54.55640104
2014-03-25,0.832235,0.870226,0.80197,0.870226,NaN,NaN,NaN,NaN,0.80197,0.870226,0.80197,0.870226,0.861978706,0.805544843,0.751175262,56.38463449
2014-03-26,0.870226,0.870226,0.723968,0.723968,NaN,NaN,NaN,NaN,0.723968,0.870226,0.723968,0.870226,0.853265075,0.792483425,0.76039761,48.32437908
2014-03-27,0.723968,0.774768,0.687875,0.701814,NaN,NaN,NaN,NaN,0.687875,0.774768,0.687875,0.774768,0.843756492,0.782617247,0.778503888,47.22319331
2014-03-28,0.701814,0.726292,0.701814,0.70803,NaN,NaN,NaN,NaN,0.687875,0.774768,0.687875,0.774768,0.834467839,0.784450966,0.79002271,47.58410492
2014-03-29,0.70803,0.710038,0.617482,0.658382,NaN,NaN,NaN,NaN,0.687875,0.774768,0.687875,0.774768,0.824205197,0.79276072,0.791437568,44.94064644
2014-03-30,0.658382,0.68689,0.629496,0.63485,NaN,NaN,NaN,NaN,0.629496,0.68689,0.629496,0.68689,0.815693567,0.79817788,0.779414354,43.70142768
2014-03-31,0.63485,0.747204,0.63485,0.718283,NaN,NaN,NaN,NaN,0.63485,0.747204,0.63485,0.747204,0.814277677,0.79804277,0.766342084,49.0642686
2014-04-01,0.718283,0.739666,0.594196,0.613745,NaN,NaN,NaN,NaN,0.594196,0.739666,0.594196,0.739666,0.81709701,0.789702611,0.745825667,43.47610431
2014-04-02,0.613745,0.666765,0.579525,0.66317,NaN,NaN,NaN,NaN,0.579525,0.666765,0.579525,0.666765,0.818558624,0.78024641,0.728299133,46.57431609
2014-04-03,0.66317,0.66317,0.62815,0.648142,NaN,NaN,NaN,NaN,0.62815,0.66317,0.62815,0.66317,0.81690773,0.765685609,0.720844707,45.75313477
2014-04-04,0.648142,0.70097,0.622383,0.70097,NaN,NaN,NaN,NaN,0.62815,0.66317,0.62815,0.66317,0.810324174,0.752249033,0.710061965,49.14745589
2014-04-05,0.70097,0.722818,0.632338,0.644129,NaN,NaN,NaN,NaN,0.62815,0.66317,0.62815,0.66317,0.802918699,0.744596279,0.692678572,45.82497323
2014-04-06,0.644129,0.648309,0.591654,0.606547,NaN,NaN,NaN,NaN,0.591654,0.648309,0.591654,0.648309,0.792214184,0.734888119,0.683274858,43.72047106
